t_s,v_out
214.7299132,0.8
214.7299133,0.4
214.7299134,0.6000000000000001
214.72991349999998,0.4
214.72991359999997,0.6000000000000001
214.7299137,0.2
214.7299138,0.4
214.72991389999999,0.0
214.72991399999998,0.2
214.72991409999997,-0.2
214.7299142,0.0
214.7299143,-0.2
214.72991439999998,-0.2
214.72991449999998,-0.6000000000000001
214.72991459999997,-0.4
214.7299147,-0.6000000000000001
214.7299148,-0.4
214.72991489999998,-0.8
214.72991499999998,-0.6000000000000001
214.7299151,-1.0
214.7299152,-0.8
214.7299153,-1.0
214.72991539999998,-1.0
214.72991549999998,-0.8
214.7299156,-0.8
214.7299157,-1.2000000000000002
214.7299158,-1.0
214.72991589999998,-1.2000000000000002
214.72991599999997,-1.0
214.7299161,-1.2000000000000002
214.7299162,-1.0
214.72991629999999,-1.2000000000000002
214.72991639999998,-1.2000000000000002
214.72991649999997,-1.0
214.7299166,-1.0
214.7299167,-1.2000000000000002
214.72991679999998,-1.2000000000000002
214.72991689999998,-0.8
214.729917,-1.0
214.7299171,-0.8
214.7299172,-1.0
214.72991729999998,-0.6000000000000001
214.72991739999998,-0.8
214.7299175,-0.6000000000000001
214.7299176,-0.8
214.7299177,-0.4
214.72991779999998,-0.4
214.72991789999998,-0.6000000000000001
214.729918,-0.2
214.7299181,-0.6000000000000001
214.7299182,0.0
214.72991829999998,-0.2
214.72991839999997,0.0
214.7299185,0.2
214.7299186,0.0
214.72991869999998,0.4
214.72991879999998,0.2
214.72991889999997,0.6000000000000001
214.729919,0.4
214.7299191,0.8
214.72991919999998,0.6000000000000001
214.72991929999998,1.0
214.7299194,0.8
214.7299195,1.0
214.7299196,1.0
214.72991969999998,1.2000000000000002
214.72991979999998,1.0
214.7299199,1.4000000000000001
214.72992,1.2000000000000002
214.7299201,1.4000000000000001
214.72992019999998,1.4000000000000001
214.72992029999997,1.6
214.7299204,1.4000000000000001
214.7299205,1.6
214.72992059999999,1.6
214.72992069999998,1.4000000000000001
214.72992079999997,1.4000000000000001
214.7299209,1.8
214.729921,1.6
214.72992109999998,1.8
214.72992119999998,1.8
214.72992129999997,1.4000000000000001
214.7299214,1.6
214.7299215,1.8
214.72992159999998,1.6
214.72992169999998,1.4000000000000001
214.7299218,1.6
214.7299219,1.4000000000000001
214.729922,1.6
214.72992209999998,1.4000000000000001
214.72992219999998,1.4000000000000001
214.7299223,1.2000000000000002
214.7299224,1.4000000000000001
214.7299225,1.2000000000000002
214.72992259999998,1.4000000000000001
214.72992269999997,1.0
214.7299228,1.2000000000000002
214.7299229,0.8
214.72992299999999,1.0
214.72992309999998,0.6000000000000001
214.72992319999997,1.0
214.7299233,0.6000000000000001
214.7299234,0.8
214.72992349999998,0.4
214.72992359999998,0.6000000000000001
214.7299237,0.2
214.7299238,0.4
214.7299239,0.0
214.72992399999998,0.2
214.72992409999998,-0.2
214.7299242,0.0
214.7299243,-0.4
214.7299244,-0.2
214.72992449999998,-0.4
214.72992459999998,-0.4
214.7299247,-0.6000000000000001
214.7299248,-0.4
214.7299249,-0.8
214.72992499999998,-0.6000000000000001
214.72992509999997,-0.8
214.7299252,-1.0
214.7299253,-0.6000000000000001
214.72992539999998,-1.0
214.72992549999998,-0.8
214.72992559999997,-0.8
214.7299257,-1.2000000000000002
214.7299258,-1.0
214.72992589999998,-1.2000000000000002
214.72992599999998,-1.0
214.7299261,-1.2000000000000002
214.7299262,-1.0
214.7299263,-1.2000000000000002
214.72992639999998,-1.0
214.72992649999998,-1.2000000000000002
214.7299266,-1.2000000000000002
214.7299267,-0.8
214.7299268,-1.2000000000000002
214.72992689999998,-0.8
214.72992699999998,-1.0
214.7299271,-0.8
214.7299272,-0.8
214.72992729999999,-1.0
214.72992739999998,-0.8
214.72992749999997,-0.6000000000000001
214.7299276,-0.8
214.7299277,-0.4
214.72992779999998,-0.6000000000000001
214.72992789999998,-0.2
214.72992799999997,-0.4
214.7299281,-0.2
214.7299282,-0.4
214.72992829999998,0.0
214.72992839999998,0.0
214.7299285,0.2
214.7299286,0.0
214.7299287,0.4
214.72992879999998,0.2
214.72992889999998,0.6000000000000001
214.729929,0.4
214.7299291,0.8
214.7299292,0.8
214.72992929999998,0.6000000000000001
214.72992939999997,0.8
214.7299295,1.0
214.7299296,1.0
214.72992969999999,1.2000000000000002
214.72992979999998,1.0
214.72992989999997,1.4000000000000001
214.72993,1.2000000000000002
214.7299301,1.4000000000000001
214.72993019999998,1.2000000000000002
214.72993029999998,1.6
214.7299304,1.4000000000000001
214.7299305,1.6
214.7299306,1.4000000000000001
214.72993069999998,1.8
214.72993079999998,1.4000000000000001
214.7299309,1.8
214.729931,1.6
214.7299311,1.8
214.72993119999998,1.6
214.72993129999998,1.8
214.7299314,1.6
214.7299315,1.8
214.7299316,1.8
214.72993169999998,1.4000000000000001
214.72993179999997,1.6
214.7299319,1.4000000000000001
214.729932,1.4000000000000001
214.72993209999998,1.6
214.72993219999998,1.6
214.72993229999997,1.2000000000000002
214.7299324,1.4000000000000001
214.7299325,1.2000000000000002
214.72993259999998,1.2000000000000002
214.72993269999998,1.0
214.7299328,1.2000000000000002
214.7299329,0.8
214.729933,1.0
214.72993309999998,0.8
214.72993319999998,0.8
214.7299333,0.6000000000000001
214.7299334,0.8
214.7299335,0.4
214.72993359999998,0.6000000000000001
214.72993369999998,0.2
214.7299338,0.4
214.7299339,0.0
214.729934,0.2
214.72993409999998,-0.2
214.72993419999997,0.0
214.7299343,-0.4
214.7299344,-0.4
214.72993449999998,-0.2
214.72993459999998,-0.2
214.72993469999997,-0.6000000000000001
214.7299348,-0.4
214.7299349,-0.8
214.72993499999998,-0.6000000000000001
214.72993509999998,-1.0
214.7299352,-0.8
214.7299353,-1.0
214.7299354,-0.8
214.72993549999998,-1.0
214.72993559999998,-1.0
214.7299357,-1.2000000000000002
214.7299358,-1.2000000000000002
214.7299359,-1.0
214.72993599999998,-1.0
214.72993609999997,-1.2000000000000002
214.7299362,-1.0
214.7299363,-1.2000000000000002
214.72993639999999,-1.0
214.72993649999998,-1.2000000000000002
214.72993659999997,-1.2000000000000002
214.7299367,-1.0
214.7299368,-1.2000000000000002
214.72993689999998,-0.8
214.72993699999998,-1.0
214.72993709999997,-0.8
214.7299372,-1.0
214.7299373,-0.6000000000000001
214.72993739999998,-0.8
214.72993749999998,-0.6000000000000001
214.7299376,-0.8
214.7299377,-0.4
214.7299378,-0.6000000000000001
214.72993789999998,-0.2
214.72993799999998,-0.2
214.7299381,-0.4
214.7299382,-0.2
214.7299383,0.0
214.72993839999998,-0.2
214.72993849999997,0.2
214.7299386,0.0
214.7299387,0.4
214.72993879999999,0.2
214.72993889999998,0.6000000000000001
214.72993899999997,0.4
214.7299391,0.6000000000000001
214.7299392,0.6000000000000001
214.72993929999998,0.8
214.72993939999998,0.8
214.7299395,1.0
214.7299396,0.8
214.7299397,1.2000000000000002
214.72993979999998,1.0
214.72993989999998,1.4000000000000001
214.72994,1.2000000000000002
214.7299401,1.4000000000000001
214.7299402,1.2000000000000002
214.72994029999998,1.6
214.72994039999998,1.4000000000000001
214.7299405,1.6
214.7299406,1.6
214.7299407,1.4000000000000001
214.72994079999998,1.4000000000000001
214.72994089999997,1.8
214.729941,1.8
214.7299411,1.4000000000000001
214.72994119999998,1.8
214.72994129999998,1.4000000000000001
214.72994139999997,1.4000000000000001
214.7299415,1.8
214.7299416,1.8
214.72994169999998,1.4000000000000001
214.72994179999998,1.6
214.7299419,1.4000000000000001
214.729942,1.4000000000000001
214.7299421,1.6
214.72994219999998,1.6
214.72994229999998,1.2000000000000002
214.7299424,1.4000000000000001
214.7299425,1.2000000000000002
214.7299426,1.2000000000000002
214.72994269999998,1.0
214.72994279999998,1.2000000000000002
214.7299429,1.0
214.729943,1.0
214.72994309999999,0.8
214.72994319999998,0.8
214.72994329999997,0.6000000000000001
214.7299434,0.6000000000000001
214.7299435,0.4
214.72994359999998,0.6000000000000001
214.72994369999998,0.2
214.72994379999997,0.4
214.7299439,0.0
214.729944,0.2
214.72994409999998,-0.2
214.72994419999998,0.0
214.7299443,-0.4
214.7299444,-0.2
214.7299445,-0.4
214.72994459999998,-0.4
214.72994469999998,-0.6000000000000001
214.7299448,-0.4
214.7299449,-0.8
214.729945,-0.6000000000000001
214.72994509999998,-1.0
214.72994519999997,-1.0
214.7299453,-0.6000000000000001
214.7299454,-0.8
214.72994549999999,-1.0
214.72994559999998,-1.0
214.72994569999997,-1.2000000000000002
214.7299458,-1.0
214.7299459,-1.2000000000000002
214.72994599999998,-1.2000000000000002
214.72994609999998,-1.0
214.7299462,-1.2000000000000002
214.7299463,-1.0
214.7299464,-1.2000000000000002
214.72994649999998,-1.0
214.72994659999998,-1.2000000000000002
214.7299467,-0.8
214.7299468,-1.2000000000000002
214.7299469,-0.8
214.72994699999998,-1.0
214.72994709999998,-0.8
214.7299472,-1.0
214.7299473,-0.6000000000000001
214.7299474,-0.6000000000000001
214.72994749999998,-1.0
214.72994759999997,-0.8
214.7299477,-0.4
214.7299478,-0.6000000000000001
214.72994789999998,-0.4
214.72994799999998,-0.4
214.72994809999997,-0.2
214.7299482,-0.4
214.7299483,0.0
214.72994839999998,-0.2
214.72994849999998,0.2
214.7299486,0.0
214.7299487,0.4
214.7299488,0.2
214.72994889999998,0.6000000000000001
214.72994899999998,0.6000000000000001
214.7299491,0.4
214.7299492,0.6000000000000001
214.7299493,0.8
214.72994939999998,0.8
214.72994949999998,1.0
214.7299496,0.8
214.7299497,1.2000000000000002
214.72994979999999,1.0
214.72994989999998,1.4000000000000001
214.72994999999997,1.2000000000000002
214.7299501,1.4000000000000001
214.7299502,1.2000000000000002
214.72995029999998,1.6
214.72995039999998,1.4000000000000001
214.72995049999997,1.6
214.7299506,1.6
214.7299507,1.4000000000000001
214.72995079999998,1.6
214.72995089999998,1.4000000000000001
214.729951,1.8
214.7299511,1.4000000000000001
214.7299512,1.6
214.72995129999998,1.8
214.72995139999998,1.8
214.7299515,1.4000000000000001
214.7299516,1.6
214.7299517,1.4000000000000001
214.72995179999998,1.6
214.72995189999997,1.4000000000000001
214.729952,1.6
214.7299521,1.2000000000000002
214.72995219999999,1.4000000000000001
214.72995229999998,1.2000000000000002
214.72995239999997,1.4000000000000001
214.7299525,1.2000000000000002
214.7299526,1.4000000000000001
214.72995269999998,1.0
214.72995279999998,1.2000000000000002
214.72995289999997,0.8
214.729953,1.0
214.7299531,0.6000000000000001
214.72995319999998,0.8
214.72995329999998,0.6000000000000001
214.7299534,0.6000000000000001
214.7299535,0.4
214.7299536,0.6000000000000001
214.72995369999998,0.2
214.72995379999998,0.4
214.7299539,0.0
214.729954,0.2
214.7299541,-0.2
214.72995419999998,0.0
214.72995429999997,-0.4
214.7299544,-0.2
214.7299545,-0.4
214.72995459999999,-0.4
214.72995469999998,-0.6000000000000001
214.72995479999997,-0.4
214.7299549,-0.8
214.729955,-0.6000000000000001
214.72995509999998,-0.8
214.72995519999998,-1.0
214.7299553,-0.6000000000000001
214.7299554,-0.8
214.7299555,-1.0
214.72995559999998,-0.8
214.72995569999998,-1.2000000000000002
214.7299558,-1.0
214.7299559,-1.2000000000000002
214.729956,-1.0
214.72995609999998,-1.2000000000000002
214.72995619999998,-1.2000000000000002
214.7299563,-1.0
214.7299564,-1.0
214.7299565,-1.2000000000000002
214.72995659999998,-1.0
214.72995669999997,-1.2000000000000002
214.7299568,-1.0
214.7299569,-0.8
214.72995699999998,-1.0
214.72995709999998,-0.8
214.72995719999997,-1.0
214.7299573,-0.6000000000000001
214.7299574,-1.0
214.72995749999998,-0.6000000000000001
214.72995759999998,-0.8
214.7299577,-0.4
214.7299578,-0.6000000000000001
214.7299579,-0.2
214.72995799999998,-0.6000000000000001
214.72995809999998,-0.2
