t_s,v_in
1073.7091315,1.2000000000000002
1073.709132,1.0
1073.7091325000001,1.6
1073.709133,1.4000000000000001
1073.7091335,1.8
1073.709134,1.8
1073.7091345000001,2.2
1073.709135,2.0
1073.7091355,2.2
1073.7091360000002,2.0
1073.7091365,2.4000000000000004
1073.709137,2.2
1073.7091375,2.6
1073.7091380000002,2.4000000000000004
1073.7091385,3.0
1073.709139,2.6
1073.7091395,3.0
1073.7091400000002,2.8000000000000003
1073.7091405,3.0
1073.709141,2.8000000000000003
1073.7091415,3.0
1073.7091420000002,3.0
1073.7091425,2.6
1073.709143,3.0
1073.7091435,2.6
1073.7091440000002,2.8000000000000003
1073.7091445,2.6
1073.709145,2.8000000000000003
1073.7091455,2.4000000000000004
1073.7091460000001,2.6
1073.7091465,2.2
1073.709147,2.4000000000000004
1073.7091475,2.0
1073.7091480000001,2.2
1073.7091485,1.8
1073.709149,2.0
1073.7091495,1.6
1073.7091500000001,1.6
1073.7091505,1.2000000000000002
1073.709151,1.4000000000000001
1073.7091515,1.0
1073.7091520000001,1.0
1073.7091525,0.6000000000000001
1073.709153,0.8
1073.7091535,0.4
1073.7091540000001,0.4
1073.7091545,0.0
1073.709155,0.2
1073.7091555,-0.2
1073.7091560000001,0.0
1073.7091565,-0.6000000000000001
1073.709157,-0.4
1073.7091575,-0.8
1073.7091580000001,-0.8
1073.7091585,-1.0
1073.709159,-1.0
1073.7091595000002,-1.4000000000000001
1073.70916,-1.2000000000000002
1073.7091605,-1.6
1073.709161,-1.4000000000000001
1073.7091615000002,-1.8
1073.709162,-1.6
1073.7091625,-2.0
1073.709163,-1.8
1073.7091635000002,-2.2
1073.709164,-2.0
1073.7091645,-2.2
1073.709165,-2.0
1073.7091655000002,-2.2
1073.709166,-2.0
1073.7091665,-2.4000000000000004
1073.709167,-2.0
1073.7091675000001,-2.4000000000000004
1073.709168,-2.0
1073.7091685,-2.4000000000000004
1073.709169,-2.2
1073.7091695000001,-1.8
1073.70917,-2.0
1073.7091705,-1.8
1073.709171,-2.0
1073.7091715000001,-1.6
1073.709172,-1.8
1073.7091725,-1.4000000000000001
1073.709173,-1.4000000000000001
1073.7091735000001,-1.0
1073.709174,-1.2000000000000002
1073.7091745,-0.8
1073.709175,-1.0
1073.7091755000001,-0.6000000000000001
1073.709176,-0.8
1073.7091765,-0.2
1073.709177,-0.4
1073.7091775000001,0.0
1073.709178,-0.2
1073.7091785,0.4
1073.709179,0.2
1073.7091795000001,0.8
1073.70918,0.6000000000000001
1073.7091805,1.0
1073.7091810000002,0.8
1073.7091815,1.2000000000000002
1073.709182,1.2000000000000002
1073.7091825,1.6
1073.7091830000002,1.4000000000000001
1073.7091835,1.8
1073.709184,1.6
1073.7091845,2.0
1073.7091850000002,1.8
1073.7091855,2.4000000000000004
1073.709186,2.2
1073.7091865,2.6
1073.7091870000002,2.4000000000000004
1073.7091875,2.6
1073.709188,2.6
1073.7091885,2.8000000000000003
1073.7091890000002,2.6
1073.7091895,2.8000000000000003
1073.70919,2.6
1073.7091905,3.0
1073.7091910000001,2.8000000000000003
1073.7091915,3.0
1073.709192,2.8000000000000003
1073.7091925,3.0
1073.7091930000001,2.8000000000000003
1073.7091935,3.0
1073.709194,2.8000000000000003
1073.7091945,2.6
1073.7091950000001,2.8000000000000003
1073.7091955,2.4000000000000004
1073.709196,2.6
1073.7091965,2.2
1073.7091970000001,2.4000000000000004
1073.7091975,2.0
1073.709198,2.2
1073.7091985,1.8
1073.7091990000001,2.0
1073.7091995,1.6
1073.7092,1.6
1073.7092005,1.2000000000000002
1073.7092010000001,1.4000000000000001
1073.7092015,1.0
1073.709202,1.2000000000000002
1073.7092025,0.8
1073.7092030000001,0.8
1073.7092035,0.4
1073.709204,0.6000000000000001
1073.7092045000002,0.0
1073.709205,0.2
1073.7092055,-0.2
1073.709206,-0.2
1073.7092065000002,-0.6000000000000001
1073.709207,-0.4
1073.7092075,-0.8
1073.709208,-0.8
1073.7092085000002,-1.2000000000000002
1073.709209,-1.0
1073.7092095,-1.4000000000000001
1073.70921,-1.2000000000000002
1073.7092105000002,-1.8
1073.709211,-1.4000000000000001
1073.7092115,-1.8
1073.709212,-1.6
1073.7092125000001,-2.0
1073.709213,-1.8
1073.7092135,-2.2
1073.709214,-2.0
1073.7092145000001,-2.2
1073.709215,-2.0
1073.7092155,-2.4000000000000004
1073.709216,-2.0
1073.7092165000001,-2.4000000000000004
1073.709217,-2.0
1073.7092175,-2.4000000000000004
1073.709218,-2.2
1073.7092185000001,-2.0
1073.709219,-2.2
1073.7092195,-2.0
1073.70922,-2.0
1073.7092205000001,-1.8
1073.709221,-1.6
1073.7092215,-2.0
1073.709222,-1.8
1073.7092225000001,-1.4000000000000001
1073.709223,-1.2000000000000002
1073.7092235,-1.6
1073.709224,-1.2000000000000002
1073.7092245000001,-1.0
1073.709225,-1.0
1073.7092255,-0.6000000000000001
1073.7092260000002,-0.8
1073.7092265,-0.4
1073.709227,-0.4
1073.7092275,0.0
1073.7092280000002,-0.2
1073.7092285,0.4
1073.709229,0.2
1073.7092295,0.6000000000000001
1073.7092300000002,0.4
1073.7092305,1.0
1073.709231,0.8
1073.7092315,1.2000000000000002
1073.7092320000002,1.2000000000000002
1073.7092325,1.6
1073.709233,1.4000000000000001
1073.7092335,1.8
1073.7092340000002,1.6
1073.7092345,2.0
1073.709235,1.8
1073.7092355,2.2
1073.7092360000001,2.0
1073.7092365,2.4000000000000004
1073.709237,2.4000000000000004
1073.7092375,2.6
1073.7092380000001,2.6
1073.7092385,2.8000000000000003
1073.709239,2.8000000000000003
1073.7092395,2.6
1073.7092400000001,2.6
1073.7092405,3.0
1073.709241,2.8000000000000003
1073.7092415,3.0
1073.7092420000001,3.0
1073.7092425,2.8000000000000003
1073.709243,2.8000000000000003
1073.7092435,3.0
1073.7092440000001,2.8000000000000003
1073.7092445,2.6
1073.709245,2.8000000000000003
1073.7092455,2.4000000000000004
1073.7092460000001,2.6
1073.7092465,2.2
1073.709247,2.4000000000000004
1073.7092475,2.0
1073.7092480000001,2.2
1073.7092485,1.8
1073.709249,2.0
1073.7092495000002,1.6
1073.70925,1.6
1073.7092505,1.4000000000000001
1073.709251,1.4000000000000001
1073.7092515000002,1.0
1073.709252,1.2000000000000002
1073.7092525,0.6000000000000001
1073.709253,0.8
1073.7092535000002,0.4
1073.709254,0.4
1073.7092545,0.0
1073.709255,0.2
1073.7092555000002,-0.4
1073.709256,-0.2
1073.7092565,-0.6000000000000001
1073.709257,-0.4
1073.7092575000001,-0.8
1073.709258,-0.6000000000000001
1073.7092585,-1.2000000000000002
1073.709259,-1.0
1073.7092595000001,-1.4000000000000001
1073.70926,-1.2000000000000002
1073.7092605,-1.6
1073.709261,-1.4000000000000001
1073.7092615000001,-1.8
1073.709262,-1.6
1073.7092625,-2.0
1073.709263,-1.8
1073.7092635000001,-2.2
1073.709264,-2.0
1073.7092645,-2.2
1073.709265,-2.2
1073.7092655000001,-2.0
1073.709266,-2.0
1073.7092665,-2.4000000000000004
1073.709267,-2.2
1073.7092675000001,-2.0
1073.709268,-2.2
1073.7092685,-2.0
1073.709269,-2.2
1073.7092695000001,-1.8
1073.70927,-1.8
1073.7092705,-2.0
1073.7092710000002,-2.0
1073.7092715,-1.6
1073.709272,-1.4000000000000001
1073.7092725,-1.8
1073.7092730000002,-1.4000000000000001
1073.7092735,-1.2000000000000002
1073.709274,-1.4000000000000001
1073.7092745,-0.8
1073.7092750000002,-1.0
1073.7092755,-0.6000000000000001
1073.709276,-0.8
1073.7092765,-0.4
1073.7092770000002,-0.4
1073.7092775,0.0
1073.709278,-0.2
1073.7092785,0.4
1073.7092790000002,0.2
1073.7092795,0.6000000000000001
1073.70928,0.6000000000000001
1073.7092805,1.0
1073.7092810000001,0.8
1073.7092815,1.2000000000000002
1073.709282,1.0
1073.7092825,1.6
1073.7092830000001,1.4000000000000001
1073.7092835,1.8
1073.709284,1.6
1073.7092845,2.0
1073.7092850000001,2.0
1073.7092855,2.4000000000000004
1073.709286,2.2
1073.7092865,2.6
1073.7092870000001,2.4000000000000004
1073.7092875,2.6
1073.709288,2.8000000000000003
1073.7092885,2.4000000000000004
1073.7092890000001,2.6
1073.7092895,3.0
1073.70929,2.6
1073.7092905,3.0
1073.7092910000001,2.8000000000000003
1073.7092915,3.0
1073.709292,2.8000000000000003
1073.7092925,3.0
1073.7092930000001,3.0
1073.7092935,2.6
1073.709294,2.8000000000000003
1073.7092945000002,2.6
